year,TSI,avg_temp,co2,eruptions
1959,1361.5613,0.03,315.98,37
1960,1361.4275,-0.03,316.91,35
1961,1360.9957,0.06,317.64,32
1962,1360.7981,0.03,318.45,29
1963,1360.7325,0.05,318.99,40
1964,1360.7277,-0.2,319.62,29
1965,1360.774,-0.11,320.04,34
1966,1361.0021,-0.06,321.37,35
1967,1361.223,-0.02,322.18,43
1968,1361.3037,-0.08,323.05,32
1969,1361.3771,0.05,324.62,32
1970,1361.3759,0.02,325.68,34
1971,1361.04,-0.08,326.32,32
1972,1361.1002,0.01,327.46,30
1973,1360.8647,0.16,329.68,41
1974,1360.771,-0.07,330.19,27
1975,1360.7155,-0.01,331.12,23
1976,1360.6946,-0.1,332.03,29
1977,1360.8905,0.18,333.84,39
1978,1361.2162,0.07,335.41,25
1979,1361.6016,0.16,336.84,32
1980,1361.6398,0.26,338.76,41
1981,1361.6833,0.32,340.12,29
1982,1361.2311,0.14,341.48,32
1983,1361.2137,0.31,343.15,32
1984,1360.7904,0.15,344.85,33
1985,1360.6329999999998,0.12,346.35,27
1986,1360.6417,0.18,347.61,39
1987,1360.7828,0.32,349.31,30
1988,1361.1195,0.39,351.69,27
1989,1361.6433,0.27,353.2,25
1990,1361.5521,0.45,354.45,30
1991,1361.5178,0.4,355.7,37
1992,1361.3082,0.22,356.54,27
1993,1360.9427,0.23,357.21,27
1994,1360.7420000000002,0.31,358.96,32
1995,1360.7317,0.44,360.97,33
1996,1360.6763,0.32,362.74,35
1997,1360.8073,0.46,363.88,26
1998,1361.1759,0.61,366.84,32
1999,1361.48,0.38,368.54,39
2000,1361.6603,0.39,369.71,39
2001,1361.5686,0.53,371.32,34
2002,1361.6332,0.62,373.45,41
2003,1361.1283,0.61,375.98,29
2004,1360.918,0.53,377.7,49
2005,1360.7004,0.67,379.98,46
2006,1360.6796,0.63,382.09,44
2007,1360.6039,0.66,384.02,36
2008,1360.6097,0.54,385.83,45
2009,1360.6066,0.65,387.64,31
2010,1360.7854,0.72,390.1,33
2011,1361.069,0.6,391.85,35
2012,1361.1926,0.64,394.06,38
2013,1361.2631,0.67,396.74,35
2014,1361.3862,0.74,398.81,40
2015,1361.4098,0.89,401.01,40
2016,1360.9519,1.01,404.41,34
2017,1360.6597,0.92,406.76,32
2018,1360.6387,0.84,408.72,37
2019,1360.6492,0.97,411.66,26
2020,1360.7491,1.01,414.24,27
2021,1360.9749,0.84,416.45,30
